id;question;option_a;option_b;option_c;option_d;answer_letter;;
29;¿Qué componentes involucran los ciclos biogeoquímicos?;Solo componentes biológicos;Solo componentes químicos;Geológicos, químicos y biológicos;Solo la atmósfera;C;;
30;¿Cuál de estos NO es un elemento mencionado en los ciclos biogeoquímicos?;Carbono;Nitrógeno;Helio;Fósforo;C;;
31;¿Cuáles son las dos grandes divisiones de ecosistemas según el medio fluido?;Cálidos y fríos;Grandes y pequeños;Acuáticos y terrestres;Naturales y artificiales;C;;
32;¿Cuál es uno de los principales problemas en los medios acuáticos?;Exceso de oxígeno;Abastecimiento de oxígeno y disminución de luz con profundidad;Demasiada luz solar;Exceso de nutrientes;B;;
33;¿Qué amortigua las diferencias de temperatura en ecosistemas acuáticos?;El viento;Las características del agua;La profundidad exclusivamente;Los organismos;B;;
34;¿Qué obliga a los organismos del medio aéreo a buscar nutrientes en el suelo?;La gravedad;El medio aéreo no contiene sustancias necesarias para la vida;La temperatura;La humedad;B;;
35;¿Por qué factores están más condicionados los ecosistemas terrestres?;Por factores biológicos;Por factores químicos;Por factores climáticos;Por factores geológicos exclusivamente;C;;
36;¿Qué es un bioma?;Un organismo individual;Un ecosistema de gran extensión con clima y vegetación característicos;Una población pequeña;Una cadena alimenticia;B;;
37;¿Cuál de estos NO es un bioma mencionado en el texto?;Praderas;Sabanas;Tundra;Arrecifes de coral;D;;
38;¿Qué otro término se usa para referirse a los biomas?;Ecosistemas pequeños;Zonas bioclimáticas;Nichos ecológicos;Hábitats específicos;B;;
39;¿Qué tipo de interacción es el parasitismo?;Positiva para ambas especies;Negativa para ambas especies;Negativa para el huésped y positiva para el parásito;Neutral para ambas especies;C;;
40;¿Qué ejemplo de mutualismo simbiótico menciona el texto?;Aves limpiando dientes de caimanes;Raíces de plantas y bacterias fijadoras de nitrógeno;Polinización de flores;Competencia por recursos;B;;
41;¿Qué disciplinas se combinan en la ecología de poblaciones?;Ecología y genética;Ecología y demografía;Biología y química;Geografía y climatología;B;;
42;¿Qué aspecto de la dinámica poblacional estudia la ecología de poblaciones?;Solo la estructura;Los cambios en la población en el tiempo;Únicamente el tamaño;Solo la densidad;B;;
43;¿Qué busca el depredador al seleccionar sus presas según el texto?;Los más fuertes;Los más rápidos;Los más débiles y fáciles de cazar;Los más grandes;C;;
44;¿Qué incluyen los componentes abióticos de origen orgánico?;Minerales del suelo;La capa de hojarasca;El agua de lluvia;La luz solar;B;;
45;¿Qué factores fisicoquímicos no orgánicos menciona el texto?;Solo la temperatura;Partículas de suelo mineral, lluvia, viento y luz solar;Únicamente el pH;Solo la altitud;B;;
46;¿Cuál es el mayor ecosistema que abarca todo el planeta?;El océano;La selva tropical;La biósfera;La atmósfera;C;;
47;¿Qué permite conocer una pirámide ecológica?;Solo los productores;La cantidad de organismos en cada nivel trófico;Únicamente los descomponedores;Solo el clima;B;;
48;¿Dónde se colocan los carnívoros superiores en una pirámide ecológica?;En la base;En el medio;En la punta;Distribuidos uniformemente;C;;
49;¿Qué comprende la hidrósfera en los ciclos biogeoquímicos?;Solo los océanos;Los océanos, lagos y ríos;Únicamente los ríos;Solo el agua subterránea;B;;
50;¿Qué es la litósfera?;La atmósfera gaseosa;La corteza sólida de la tierra;Los océanos;Los seres vivos;B;;
51;¿Qué tipo de adaptaciones estudia la autoecología?;Solo morfológicas;Morfológicas, fisiológicas y etológicas;Únicamente fisiológicas;Solo etológicas;B;;
52;¿Para qué es útil el conocimiento ecológico según el texto?;Solo para investigación básica;Para planificar conservación y manejo de recursos de biodiversidad;Únicamente para educación;Solo para turismo;B;;
53;¿Qué promueve la aplicación de conocimientos ecológicos?;Solo el crecimiento económico;El desarrollo económico sostenible y equilibrio ecosistémico;Únicamente la conservación;Solo la reducción de impactos;B;;
54;¿Qué puede compartirse entre varios seres vivos según el texto?;El nicho ecológico;El hábitat;La función ecológica;El rol en el ecosistema;B;;
55;¿Qué debe incluir el reconocimiento del nicho ecológico de un organismo?;Solo su dieta;Tipo de alimentación, actividades, fuente de energía e influencia;Únicamente su ubicación;Solo su tamaño;B;;
56;¿Para qué es útil reconocer los nichos ecológicos de un ecosistema?;Para contar organismos;Para comprender composición y funcionamiento del ecosistema;Solo para clasificar especies;Únicamente para mapear el área;B;;
57;¿Qué define las formas de interacción entre especies?;El tamaño de los organismos;El grado de afección entre las especies;Solo la distancia física;Únicamente el tiempo;B;;
58;¿En la depredación, cómo se beneficia el depredador?;No se beneficia;Se alimenta de la presa para subsistir;Solo obtiene refugio;Recibe protección;B;;
59;¿Qué caracteriza al mutualismo variable según el texto?;La relación es obligada;El grado de asociación es variable y no exclusivo;Siempre es permanente;Es negativo para una especie;B;;
60;¿Qué permite la polinización como ejemplo de mutualismo?;Una relación exclusiva;Una relación donde la dependencia no es exclusiva;Solo beneficio para la planta;Solo beneficio para el insecto;B;;
61;¿Cómo utiliza el parásito al hospedero?;Para protección únicamente;Para cubrir necesidades básicas y vitales;Solo para transporte;Únicamente para reproducción;B;;
62;¿Qué ocurre con la aptitud biológica del huésped en el parasitismo?;Aumenta;Se mantiene igual;Ve disminuida su aptitud biológica;Se duplica;C;;
63;¿Qué vive fuera del huésped?;Endoparásito;Simbionte;Ectoparásito;Comensal;C;;
64;¿Qué aspectos se relacionan estrechamente en un ecosistema estable?;Solo los organismos;Los componentes del entorno;Únicamente el clima;Solo el suelo;B;;
65;¿Qué han provocado las especies introducidas por humanos según el texto?;Beneficios universales;Graves perjuicios para fauna y flora autóctonas;Solo cambios positivos;Ningún efecto;B;;
66;¿Qué barreras geográficas han condicionado la historia evolutiva de especies?;Solo los ríos;Sistemas montañosos, mares y desiertos;Únicamente las montañas;Solo los océanos;B;;
67;¿Qué regula menos el clima en ecosistemas acuáticos comparado con terrestres?;La temperatura del agua;Las características del ecosistema;La profundidad;Los organismos presentes;B;;
68;¿Qué caracteriza a los ecosistemas acuáticos continentales mencionados?;Solo son de agua salada;Pueden ser de agua dulce o salada;Solo son océanos;Únicamente son ríos;B;;
69;¿Qué incluyen los microhábitats acuosos según el texto?;Solo lagos grandes;Manantiales, huecos de árboles y cavidades de plantas;Únicamente océanos;Solo ríos caudalosos;B;;
70;¿Qué caracteriza a una formación biogeográfica o bioma?;Extensión pequeña;Gran extensión con clima y vegetación característicos;Solo factores abióticos;Únicamente organismos microscópicos;B;;
71;¿Qué longitudes de onda del espectro electromagnético pueden detectar los ojos humanos?;200 y 500 nm;400 y 700 nm;500 y 900 nm;300 y 600 nm;B;;
72;¿Cuántas glándulas de Meibomio se encuentran dentro del tarso palpebral?;10 a 15;15 a 20;20 a 25;25 a 30;C;;
73;¿Qué secretan las glándulas de Meibomio?;Lágrimas;Un aceite que reduce la evaporación;Mucus protector;Líquido seroso;B;;
74;¿A través de cuántos conductos excretores drenan las glándulas lagrimales?;3 a 6;6 a 12;12 a 18;15 a 20;B;;
75;¿Qué enzima bactericida contiene el líquido lagrimal?;Amilasa;Pepsina;Lisozima;Lipasa;C;;
76;¿Qué nervio craneal inerva al músculo oblicuo superior del ojo?;III;IV;V;VI;B;;
77;¿Qué nervio craneal inerva al músculo recto lateral del ojo?;III;IV;V;VI;D;;
78;¿Cuál es el diámetro aproximado del globo ocular adulto?;1,5 cm;2,0 cm;2,5 cm;3,0 cm;C;;
79;¿Dónde drena el humor acuoso del ojo?;Conducto lagrimal;Seno venoso escleral;Ventana oval;Cámara vítrea;B;;
80;¿Qué función cumple la melanina en la coroides del ojo?;Nutrir la retina;Absorber rayos lumínicos difusos;Producir humor acuoso;Secretar lágrimas;B;;
81;¿Qué estructuras secretan el humor acuoso?;Proceso ciliar;Cuerpo vítreo;Córnea;Retina;A;;
82;¿Qué determina el color de los ojos según el texto?;La cantidad de queratina;La cantidad de melanina en el iris;El grosor del cristalino;La densidad de la córnea;B;;
83;¿Cuántos conos aproximadamente tiene cada retina humana?;1 millón;3 millones;6 millones;120 millones;C;;
84;¿Cuántos bastones aproximadamente tiene cada retina humana?;6 millones;60 millones;120 millones;200 millones;C;;
85;¿Qué fotorreceptores permiten la visión con luz tenue?;Conos;Bastones;Células ganglionares;Melanocitos;B;;
86;¿Cómo se llama el único tipo de fotopigmento en los bastones?;Melanina;Rodopsina;Iodopsina;Retinal;B;;
87;¿Por qué el disco óptico se denomina punto ciego?;Tiene exceso de bastones;No contiene bastones ni conos;Solo tiene conos;Está cubierto de melanina;B;;
88;¿Qué estructura de la retina contiene solo conos?;Disco óptico;Mácula lútea;Fóvea central;Coroides;C;;
89;¿Qué porcentaje de la refracción total de la luz se produce en la córnea?;25%;50%;75%;90%;C;;
90;¿Cuál es el grosor del cristalino en emetropía?;2,5 mm;3,6 mm;4,5 mm;5,0 mm;B;;
91;¿A qué grosor llega el cristalino durante el acomodamiento?;3,6 mm;4,0 mm;4,5 mm;5,0 mm;C;;
92;¿Cuál es el punto de visión cercano promedio a los 10 años de edad?;5 cm;9 cm;15 cm;20 cm;B;;
93;¿Cuál es el punto de visión cercano promedio a los 60 años de edad?;40 cm;60 cm;83 cm;100 cm;C;;
94;¿Cuál es la vida aproximada de cada célula receptora del gusto?;5 días;10 días;15 días;20 días;B;;
95;¿Qué estructura del oído externo tiene forma similar al extremo más ancho de una trompeta?;Tímpano;Pabellón auricular;Conducto auditivo;Hélix;B;;
96;¿Cuál es la longitud aproximada del conducto auditivo externo?;1,5 cm;2,5 cm;3,5 cm;4,5 cm;B;;
97;¿Qué secretan las glándulas ceruminosas del oído?;Saliva;Cera del oído;Líquido seroso;Moco;B;;
98;¿Cómo se llama el primer huesecillo del oído que se adhiere al tímpano?;Martillo;Yunque;Estribo;Columela;A;;
99;¿Qué huesecillo del oído encaja en la ventana oval?;Martillo;Yunque;Estribo;Ninguno;C;;
100;¿Qué nervio inerva al músculo tensor del tímpano?;Facial;Trigémino;Vago;Glosofaríngeo;B;;
101;¿Cuál es el músculo esquelético más pequeño del cuerpo humano?;Tensor del tímpano;Estapedio;Orbicular del ojo;Ciliar;B;;
102;¿Qué nervio craneal inerva al músculo estapedio?;V;VI;VII;VIII;C;;
103;¿Qué estructura conecta el oído medio con la nasofaringe?;Trompa de Eustaquio;Conducto lagrimal;Ventana redonda;Cóclea;A;;
104;¿Cuántas vueltas aproximadamente da la cóclea alrededor de la columela?;Una;Dos;Tres;Cuatro;C;;
105;¿Cuántas células ciliadas aproximadamente tiene el órgano espiral de Corti?;8000;16000;24000;32000;B;;
106;¿Qué conducto del oído interno termina en la ventana oval?;Rampa timpánica;Rampa vestibular;Conducto coclear;Sáculo;B;;
107;¿Qué conducto del oído interno termina en la ventana redonda?;Rampa timpánica;Rampa vestibular;Conducto coclear;Utrículo;A;;
108;¿Cuántas veces vibra más fuerte la ventana oval que la membrana timpánica?;5 veces;10 veces;20 veces;30 veces;C;;
109;¿Dónde están ausentes los bastones en la retina?;En el disco óptico;En la fóvea central;En la mácula lútea;En la coroides;B;;
110;¿Qué parte del conducto hialoideo es remanente de una arteria embrionaria?;Todo el conducto;Solo la porción anterior;Solo la porción posterior;No es un remanente;A;;
111;¿Cuál es la presión intraocular normal aproximadamente?;8 mm Hg;12 mm Hg;16 mm Hg;20 mm Hg;C;;
112;¿Qué tipo de equilibrio detectan el sáculo y el utrículo?;Solo equilibrio dinámico;Equilibrio estático y aceleración lineal;Solo aceleración angular;Ningún tipo de equilibrio;B;;
113;¿Qué detectan exclusivamente los conductos semicirculares?;Equilibrio estático;Aceleración lineal;Aceleración angular;Presión sonora;C;;
114;¿Cuántos estereocilios aproximadamente tiene cada célula pilosa de una mácula?;20 a 40;40 a 70;70 a 100;100 a 130;B;;
115;¿Qué contiene la membrana otolítica?;Solo proteínas;Gránulos de carbonato de calcio y proteínas;Solo carbonato de sodio;Melanina;B;;
116;¿Después de cuántos segundos de rotación continua cesa la estimulación de las células pilosas?;10 a 15;20 a 25;30 a 35;40 a 45;B;;
117;¿Qué superficie aproximada ocupa la piel en los adultos?;1 mt2;2 mt2;3 mt2;4 mt2;B;;
118;¿Cuánto pesa aproximadamente la piel en adultos?;2 a 3 kg;4,5 a 5 kg;6 a 7 kg;8 a 9 kg;B;;
119;¿Qué porcentaje del peso corporal total representa la piel?;3%;5%;7%;9%;C;;
120;¿Cuál es el grosor de la piel en los párpados?;0,5 mm;1,0 mm;2,0 mm;4,0 mm;A;;
121;¿Cuál es el grosor de la piel en el talón?;1 mm;2 mm;4 mm;6 mm;C;;
122;¿Qué porcentaje de las células epidérmicas son queratinocitos?;70%;80%;90%;95%;C;;
123;¿Qué porcentaje de las células epidérmicas son melanocitos?;3%;8%;12%;15%;B;;
124;¿Qué pigmento absorbe los rayos ultravioletas nocivos?;Queratina;Caroteno;Melanina;Hemoglobina;C;;
125;¿Con qué estructuras entran en contacto las células de Merkel?;Vasos sanguíneos;Discos táctiles de Merkel;Folículos pilosos;Glándulas sebáceas;B;;
126;¿Cuántas hileras de queratinocitos tiene el estrato espinoso?;Tres a cinco;Ocho a diez;Quince a veinte;Veinticinco a treinta;B;;
127;¿Cuántas hileras de queratinocitos tiene el estrato granuloso?;Una a dos;Tres a cinco;Ocho a diez;Quince a veinte;B;;
128;¿Dónde está presente el estrato lúcido de la epidermis?;En todo el cuerpo;En pulpejos, palmas y plantas;Solo en el rostro;Solo en el tronco;B;;
129;¿Cuántas hileras de queratinocitos muertos contiene el estrato córneo?;Cinco a diez;Diez a quince;Veinticinco a treinta;Cuarenta a cincuenta;C;;
130;¿Qué porcentaje del flujo sanguíneo total alberga la dermis en reposo?;3 al 5%;8 al 10%;15 al 20%;25 al 30%;B;;
131;¿Qué porción de la dermis representa la región papilar?;Una décima parte;Una quinta parte;Una tercera parte;La mitad;B;;
132;¿Qué tipo de receptores son los corpúsculos táctiles de Meissner?;De adaptación lenta;De adaptación rápida;Estáticos;Permanentes;B;;
133;¿Dónde abundan los corpúsculos táctiles de Meissner?;En la espalda;En pulpejos, manos y labios;En las piernas;En el abdomen;B;;
134;¿Qué detectan los corpúsculos laminares de Pacini?;Solo temperatura;Presión profunda y vibración;Solo dolor;Solo tacto ligero;B;;
135;¿Cuántos mililitros de agua se evaporan normalmente a través de la piel?;200 ml;400 ml;600 ml;800 ml;B;;
136;¿Qué forma más activa de vitamina D produce el organismo?;Retinol;Calcitriol;Tocoferol;Colecalciferol;B;;
137;¿Cuántos gustos primarios se distinguen según el texto?;3;5;7;10;B;;
138;¿Qué sustancia estimula los receptores del sabor umami?;Sacarosa;Cloruro de sodio;Glutamato monosódico;Ácido cítrico;C;;
139;¿Cuántos botones gustativos aproximadamente tiene un adulto joven?;5000;10000;15000;20000;B;;
140;¿Cuántas células receptoras del gusto hay aproximadamente en cada botón gustativo?;25;50;75;100;B;;
141;¿Cuántos días aproximadamente vive cada célula receptora del gusto?;5;10;15;20;B;;
142;¿Cuántas papilas circunvaladas hay aproximadamente en la lengua?;6;12;18;24;B;;
143;¿Cuántos botones gustativos contiene cada papila circunvalada?;10 a 50;50 a 100;100 a 300;300 a 500;C;;
144;¿Cuántos botones gustativos contiene cada papila fungiforme?;Alrededor de 5;Alrededor de 15;Alrededor de 25;Alrededor de 50;A;;
145;¿Qué nervio craneal inerva los botones gustativos de los dos tercios anteriores de la lengua?;Facial;Glosofaríngeo;Vago;Trigémino;A;;
146;¿Qué nervio craneal inerva los botones gustativos del tercio posterior de la lengua?;Facial;Glosofaríngeo;Vago;Trigémino;B;;
147;¿Cuántos olores diferentes aproximadamente pueden reconocer los seres humanos?;1000;5000;10000;20000;C;;
148;¿Entre cuántos receptores olfatorios contiene la nariz humana?;1 y 10 millones;10 y 100 millones;100 y 200 millones;200 y 300 millones;B;;
149;¿Qué estructura cubre la superficie inferior de la lámina cribosa del etmoides?;Pituitaria roja;Epitelio olfatorio;Mucosa nasal;Cornetes nasales;B;;
150;¿Qué tipo de neurona son los receptores olfatorios?;Unipolares;Bipolares;Multipolares;Apolares;B;;
151;¿Dónde se produce la transducción olfativa?;En el bulbo olfatorio;En los cilios olfatorios;En las células basales;En el tracto olfatorio;B;;
152;¿Cómo se llaman las sustancias químicas que tienen olor y estimulan los cilios olfatorios?;Gustativas;Táctiles;Odorantes;Fotones;C;;
153;¿Qué glándulas producen moco en el epitelio olfatorio?;Glándulas de Meibomio;Glándulas de Bowman;Glándulas ceruminosas;Glándulas sebáceas;B;;
154;¿Dónde terminan los nervios olfatorios?;En el tálamo;En los bulbos olfatorios;En la corteza cerebral;En el hipotálamo;B;;
155;¿Dónde se localiza el área olfatoria primaria?;Lóbulo frontal;Lóbulo parietal;Lóbulo temporal;Lóbulo occipital;C;;
156;¿Qué función cumple la pituitaria roja de las fosas nasales?;Olfativa;Respiratoria;Gustativa;Auditiva;B;;
157;¿Dónde se localiza la corteza visual primaria?;Lóbulo frontal;Lóbulo parietal;Lóbulo temporal;Lóbulo occipital;D;;
158;¿Qué pueden causar lesiones en el lóbulo occipital aunque el ojo sea funcional?;Sordera;Ceguera;Anosmia;Ageusia;B;;
159;¿Dónde se localiza el área gustativa primaria?;Lóbulo frontal;Lóbulo parietal;Lóbulo temporal;Lóbulo occipital;B;;
160;¿Qué tipo de papilas linguales NO contienen botones gustativos?;Circunvaladas;Fungiformes;Filiformes;Foliadas;C;;
161;¿Qué porcentaje del peso corporal representa el tejido óseo?;12%;15%;18%;22%;C;;
162;¿Qué proceso se denomina hemopoyesis?;Almacenamiento de minerales;Producción de células sanguíneas;Formación de tejido óseo;Remodelación ósea;B;;
163;¿Dónde se almacenan los triglicéridos en el sistema óseo?;Médula ósea roja;Periostio;Médula ósea amarilla;Endostio;C;;
164;¿Qué estructura permite a la diáfisis crecer en longitud en el hueso en crecimiento?;Epífisis;Placa epifisaria;Cavidad medular;Periostio;B;;
165;¿Cuántas capas tiene el periostio?;Una;Dos;Tres;Cuatro;B;;
166;¿Qué porcentaje de agua contiene la matriz osteoide?;15%;30%;55%;70%;A;;
167;¿Qué sal mineral es la más abundante en el tejido óseo?;Carbonato de calcio;Fosfato de calcio;Hidróxido de calcio;Sulfato de calcio;B;;
168;¿Qué células óseas son las únicas que experimentan división celular?;Osteoblastos;Osteocitos;Osteoclastos;Células osteogénicas;D;;
169;¿Qué células liberan enzimas lisosómicas que digieren la matriz osteoide?;Osteoblastos;Osteocitos;Osteoclastos;Células osteogénicas;C;;
170;¿Cómo se denomina la descomposición de la matriz osteoide?;Calcificación;Osificación;Resorción;Mineralización;C;;
171;¿Qué estructura forma el sistema de Havers en el tejido óseo compacto?;Trabéculas;Osteonas;Laminillas aisladas;Canalículos;B;;
172;¿Qué contienen las lagunas del tejido óseo compacto?;Vasos sanguíneos;Osteocitos;Médula ósea;Nervios;B;;
173;¿Cuántos huesos tiene el esqueleto adulto humano?;186;196;206;216;C;;
174;¿Cuántos huesos conforman el esqueleto axial?;60;70;80;90;C;;
175;¿Cuántos huesos conforman el esqueleto apendicular?;106;116;126;136;C;;
176;¿Cuántos huesos craneales tiene el cráneo humano?;6;8;10;12;B;;
177;¿Qué hueso contiene los senos frontales?;Etmoides;Esfenoides;Frontal;Temporal;C;;
178;¿Qué estructura del hueso occipital contiene al bulbo raquídeo?;Cóndilos occipitales;Foramen magno;Protuberancia occipital;Líneas nucales;B;;
179;¿Qué hueso tiene forma de mariposa con las alas desplegadas?;Etmoides;Esfenoides;Occipital;Temporal;B;;
180;¿Qué estructura del esfenoides aloja a la glándula hipófisis?;Foramen óptico;Silla turca;Alas mayores;Apófisis pterigoides;B;;
181;¿Qué hueso contiene la crista Galli?;Frontal;Esfenoides;Etmoides;Vómer;C;;
182;¿Cuántas celdillas etmoidales puede contener cada masa lateral del etmoides?;De 1 a 10;De 3 a 18;De 5 a 25;De 10 a 30;B;;
183;¿Qué huesos forman el puente de la nariz?;Lacrimales;Nasales;Palatinos;Vómer;B;;
184;¿Qué huesos forman la tercera parte posterior del paladar óseo?;Maxilares superiores;Palatinos;Nasales;Vómer;B;;
185;¿Cuál es el único hueso móvil de la cabeza?;Hioides;Maxilar superior;Maxilar inferior;Vómer;C;;
186;¿Con qué estructura no se articula el hueso hioides?;Apófisis estiloides;Ligamentos;Músculos;Ningún hueso;D;;
187;¿Cuántas vértebras cervicales tiene la columna vertebral?;5;7;12;33;B;;
188;¿Cuántas vértebras torácicas tiene la columna vertebral?;7;10;12;5;C;;
189;¿Cuántas vértebras se fusionan para formar el sacro en adultos?;3;4;5;6;C;;
190;¿Qué vértebra se denomina atlas?;C1;C2;C7;T1;A;;
191;¿Qué vértebra se denomina axis?;C1;C2;C3;C7;B;;
192;¿Qué estructura del axis se proyecta hacia arriba a través del atlas?;Cuerpo vertebral;Apófisis odontoides;Apófisis espinosa;Pedículo;B;;
193;¿Qué vértebra cervical se llama vértebra prominente?;C1;C3;C5;C7;D;;
194;¿Cuántos pares de agujeros sacros anteriores tiene el sacro?;2;3;4;5;C;;
195;¿Entre qué edades se fusionan las vértebras coxígeas?;10 y 20;20 y 30;30 y 40;40 y 50;B;;
196;¿Cuántos pares de costillas verdaderas tiene el cuerpo humano?;5;7;10;12;B;;
197;¿Qué costillas se denominan flotantes?;Primera y segunda;Séptima y octava;Octava y novena;Undécima y duodécima;D;;
198;¿Cuántas regiones tiene el esternón?;2;3;4;5;B;;
199;¿Cómo se llama la parte superior del esternón?;Cuerpo;Mango o manubrio;Apófisis xifoides;Ángulo esternal;B;;
200;¿Qué hueso de la cintura escapular tiene forma de S?;Escápula;Clavícula;Húmero;Acromion;B;;
201;¿Cómo se llama la cresta prominente que transcurre diagonalmente por la escápula?;Acromion;Espina;Apófisis coracoides;Cavidad glenoidea;B;;
202;¿Qué estructura de la escápula aloja la cabeza del húmero?;Fosa supraespinosa;Fosa infraespinosa;Cavidad glenoidea;Acromion;C;;
203;¿Cuántos huesos tiene cada miembro superior?;2500%;2800%;3000%;3200%;C;;
204;¿Qué estructura del húmero se encuentra entre los tubérculos mayor y menor?;Cuello anatómico;Cuello quirúrgico;Surco intertubercular;Fosa coronoidea;C;;
205;¿Qué estructura del húmero se articula con la cabeza del radio?;Tróclea;Cabeza del cóndilo;Epicóndilo medial;Fosa olecraneana;B;;
206;¿Qué estructura del cúbito forma la prominencia del codo?;Apófisis coronoides;Olécranon;Cabeza;Apófisis estiloides;B;;
207;¿Cuántos huesos carpianos tiene cada mano?;6;8;10;12;B;;
208;¿Cuántos metacarpianos tiene cada mano?;4;5;7;8;B;;
209;¿Cuántas falanges tiene el pulgar?;1;2;3;4;B;;
210;¿Cuántas falanges tiene cada mano en total?;10;12;14;16;C;;
211;¿A qué edad se fusionan los tres huesos que forman cada coxal?;16 años;20 años;23 años;26 años;C;;
212;¿Qué estructura de los huesos coxales recibe al nervio ciático?;Escotadura ciática mayor;Escotadura ciática menor;Agujero obturador;Acetábulo;A;;
213;¿Qué estructura soporta el cuerpo en posición sedente?;Cresta ilíaca;Tuberosidad ciática;Espina ilíaca;Acetábulo;B;;
214;¿Cuántos huesos tiene cada miembro inferior?;25;28;30;32;C;;
215;¿Cuál es el hueso más largo, pesado y fuerte del cuerpo humano?;Húmero;Tibia;Fémur;Peroné;C;;
216;¿Qué estructura del fémur es una pequeña depresión en la cabeza?;Fosa intercondílea;Fosita de la cabeza femoral;Cuello anatómico;Trocánter mayor;B;;
217;¿Qué hueso triangular se localiza por delante de la articulación de la rodilla?;Fémur;Tibia;Rótula;Peroné;C;;
218;¿Qué hueso de la pierna es el más grande y soporta el peso?;Peroné;Tibia;Fémur;Rótula;B;;
