id;question;option_a;option_b;option_c;option_d;answer_letter
51;¿Cuántos modos válidos tiene la segunda figura del silogismo?;Seis;Cinco;Cuatro;Tres;C
52;¿Cuántos modos válidos tiene la tercera figura del silogismo?;Cuatro;Cinco;Tres;Seis;D
53;¿Cuántos modos válidos tiene la cuarta figura del silogismo?;Cuatro;Seis;Tres;Cinco;D
54;¿Qué modo del silogismo tiene la estructura AAA en la primera figura?;Celarent;Darii;Ferio;Barbara;D
55;¿Qué modo del silogismo tiene la estructura EAE en la primera figura?;Barbara;Celarent;Darii;Ferio;B
56;¿Qué modo del silogismo tiene la estructura AII en la primera figura?;Ferio;Barbara;Celarent;Darii;D
57;¿Qué modo del silogismo tiene la estructura EIO en la primera figura?;Darii;Celarent;Barbara;Ferio;D
58;Según el principio de no contradicción, dos juicios contradictorios no pueden ser ambos:;Falsos;Particulares;Universales;Verdaderos;D
59;Según el principio del tercer excluido, dos juicios contradictorios no pueden ser ambos:;Verdaderos;Universales;Particulares;Falsos;D
60;"¿Qué principio busca la razón de las cosas en el ""porqué""?";Principio de finalidad;Principio de identidad;Principio de causalidad;Principio del tercer excluido;C
61;"¿Qué principio busca la razón de las cosas en el ""para qué""?";Principio de causalidad;Principio de identidad;Principio del tercer excluido;Principio de finalidad;D
62;¿Qué filósofo antiguo creó las famosas aporías que son razonamientos extremadamente lógicos?;Parménides;Sócrates;Platón;Zenón de Elea;D
63;¿Cómo llamó Aristóteles a su tratado de lógica?;Organon;Tópicos;Analítica;Hermenéutica;C
64;¿En qué parte del Organon Aristóteles estudia los términos y conceptos?;Hermenéutica;Primeros Analíticos;Categorías;Tópicos;C
65;¿En qué parte del Organon Aristóteles estudia la proposición y los juicios?;Categorías;Segundos Analíticos;Tópicos;Hermenéutica;D
66;¿En qué parte del Organon Aristóteles trata los silogismos?;Segundos Analíticos;Categorías;Hermenéutica;Primeros Analíticos;D
67;¿En qué parte del Organon Aristóteles estudia la demostración?;Primeros Analíticos;Tópicos;Segundos Analíticos;Categorías;C
68;¿Qué ocupaba el centro de la lógica aristotélica?;La inducción;La analogía;El concepto;El silogismo;D
69;¿Qué tipo de errores de razonamiento son cometidos con intención de engañar?;Paralogismos;Falacias;Aporías;Sofismas;D
70;¿Qué tipo de errores de razonamiento son cometidos sin intención de engañar?;Sofismas;Falacias;Aporías;Paralogismos;D
71;¿En qué se dividen los sofismas según el documento?;Simples y compuestos;Directos e indirectos;Verbales y de pensamiento;Formales e informales;C
72;¿Qué tipo de juicio según la cantidad se refiere a todos los individuos de la especie?;Singular;Particular;Indefinido;Universal;D
73;¿Qué tipo de juicio según la cantidad se refiere a varios objetos sin llegar a la totalidad?;Universal;Singular;Indefinido;Particular;D
74;¿Qué tipo de juicio según la cantidad se refiere a una sola cosa?;Particular;Universal;Indefinido;Singular;D
75;¿Qué tipo de juicio según la relación tiene la acción del predicado sujeta a una condición?;Categórico;Disyuntivo;Problemático;Hipotético;D
76;¿Qué tipo de juicio según la relación presenta la relación de sujeto y predicado sin ninguna condición?;Hipotético;Disyuntivo;Problemático;Categórico;D
77;¿Qué filósofo consideraba que la lógica era un saber de medio o instrumento?;Platón;Parménides;Sócrates;Aristóteles;D
78;¿Qué tipo de razonamiento tiene la conclusión extraída de dos o más premisas?;Inmediato;Simple;Directo;Mediato;D
79;¿Qué tipo de razonamiento tiene la conclusión inferida directamente de una sola premisa?;Mediato;Compuesto;Directo;Inmediato;D
80;¿Cuál es una condición que debe cumplir todo razonamiento correcto?;Premisas verdaderas;Conclusión universal;Orden lógico de los juicios;Más de tres términos;C
81;¿Qué condición del razonamiento establece que un juicio debe ser consecuencia lógica del anterior?;Orden lógico;Conclusión diferente;Premisas universales;Consecuencia lógica;D
82;¿Qué condición del razonamiento establece que la conclusión no debe repetir lo afirmado en los juicios anteriores?;Consecuencia lógica;Orden lógico;Premisas verdaderas;Conclusión diferente;D
83;Según una regla del silogismo para los juicios, ¿qué ocurre si ambas premisas son afirmativas?;La conclusión debe ser universal;No se puede sacar conclusión;La conclusión debe ser particular;No se saca conclusión negativa;D
84;Según una regla del silogismo para los juicios, ¿qué ocurre si ambas premisas son negativas?;La conclusión es particular;La conclusión es negativa;No se puede sacar conclusión;La conclusión es universal;C
85;Según una regla del silogismo para los juicios, ¿qué ocurre si ambas premisas son particulares?;La conclusión es negativa;No se puede sacar conclusión alguna;La conclusión es particular;La conclusión es universal;B
86;¿Qué regla del silogismo establece que la conclusión debe seguir la parte más débil?;Segunda regla para los juicios;Tercera regla para los términos;Primera regla para los términos;Cuarta regla para los juicios;D
87;¿Qué regla especial tiene la primera figura del silogismo respecto a la premisa mayor?;Debe ser particular;Debe ser negativa;Debe ser afirmativa;Debe ser universal;D
88;¿Qué regla especial tiene la primera figura del silogismo respecto a la premisa menor?;Debe ser universal;Debe ser negativa;Debe ser particular;Debe ser afirmativa;D
89;¿Qué regla especial tiene la segunda figura del silogismo?;La mayor es universal y una de las dos negativa;Ambas deben ser afirmativas;Ambas deben ser universales;La menor es particular;A
90;¿Qué regla especial tiene la tercera figura respecto a la premisa mayor?;Debe ser negativa;Debe ser universal;Debe ser particular;Debe ser afirmativa;D
91;¿Qué regla especial tiene la tercera figura respecto a la conclusión?;Debe ser universal;Debe ser negativa;Debe ser afirmativa;Debe ser particular;D
92;¿Qué objeto de estudio tiene la lógica clásica según Aristóteles?;El razonamiento matemático;El silogismo exclusivamente;El lenguaje formal;El uso del lenguaje natural;D
93;¿Qué disciplina estudia las estructuras del pensamiento y las leyes para formular razonamientos válidos?;Retórica;Gramática;Ética;Lógica;D
94;¿De qué se ocupa la lógica formal según el documento?;De la verdad de los argumentos;Del contenido de los pensamientos;De los objetos del conocimiento;De la forma de los pensamientos;D
95;"¿Cuál es el latín del que proviene el término ""concepto""?";Conceptio;Conceptare;Conceptum;Conceptus;D
96;¿Qué es el concepto según la lógica formal?;Un razonamiento complejo;Un juicio verdadero;Una inferencia lógica;Una imagen mental expresada con palabras;D
97;¿Qué ejemplo de concepto funcional se menciona en el documento?;Inteligente;Azul;León;Es;D
98;¿Qué significa que el principio de identidad es tautológico en sentido ontológico?;Es contradictorio;Es universal;Afirma identidad y quietud pero la realidad cambia;Es particular;C
99;¿Qué influencia tuvo el Círculo de Viena en la lógica?;Desarrollo del idealismo;Renovación del aristotelismo;Creación de la lógica inductiva;Desarrollo del neopositivismo;D
100;¿Quiénes fueron considerados primero como grandes sabios y luego como vulgares charlatanes?;Los estoicos;Los megáricos;Los pitagóricos;Los sofistas;D
1;¿Qué pregunta central intenta responder la antropología filosófica?;¿De dónde viene el hombre?;¿A dónde va el hombre?;¿Qué es el hombre?;¿Cómo somos?;C
2;¿En qué siglo se desarrolló principalmente la antropología filosófica como disciplina?;Siglo XVIII;Siglo XIX;Siglo XXI;Siglo XX;D
3;¿Dónde se formó definitivamente la antropología filosófica después de la segunda guerra mundial?;Francia;Alemania occidental;Estados Unidos;Inglaterra;B
4;"¿Quién escribió la obra ""Situación del hombre en el cosmos"" en 1928?";H. Hengstenberg;A. Gehlen;M. Scheler;E. Rothacker;C
5;"¿Qué significa el término griego ""Anthropos""?";Conocimiento;Hombre;Estudio;Razón;B
6;¿Cuál es la pregunta central de la antropología teológica?;¿Qué somos?;¿De dónde viene el hombre?;¿Cómo somos?;¿A dónde va el hombre?;D
7;¿Qué ofrece la antropología teológica al hombre según el documento?;Una explicación científica;Un mundo de esperanza en el más allá;Una teoría evolutiva;Un análisis sociológico;B
8;¿Qué considera la antropología histórico-científica al hombre?;Un ser espiritual;Un ser personal;Un ser cultural;Un ser biológico;D
9;¿Cuál es la pregunta central de la antropología histórico-científica?;¿Qué es el hombre?;¿A dónde va el hombre?;¿Cómo somos?;¿De dónde viene el hombre?;D
10;¿Qué disciplina colabora con la antropología histórico-científica estudiando anatomía y fisiología?;Paleontología;Arqueología;Etnología;Somatología;D
11;¿Cuál es la pregunta central de la antropología filosófica?;¿De dónde viene el hombre?;¿A dónde va el hombre?;¿Cómo somos?;¿Qué es el hombre?;D
12;¿Cómo considera la antropología filosófica al hombre?;Un ser biológico;Un ser social;Un ser cultural;Un ser personal;D
13;"¿Quién dijo ""Reconoced pues soberbios qué paradoja son para ustedes mismos""?";C. Marx;F. Nietzsche;B. Pascal;M. Heidegger;C
14;¿Cuál es la pregunta central de la antropología sociológica?;¿Qué es el hombre?;¿De dónde viene el hombre?;¿Cómo somos?;¿A dónde va el hombre?;C
15;¿Cómo percibe la antropología sociológica al hombre?;Como ser espiritual;Como ser personal;Como ser eminentemente social;Como ser biológico;C
16;¿Cuál es la pregunta central de la antropología cultural?;¿Qué lugar ocupa el hombre en el mundo de la cultura?;¿De dónde viene el hombre?;¿Qué es el hombre?;¿A dónde va el hombre?;A
17;¿Cuántas direcciones antropológicas menciona el documento según diferentes interpretaciones?;Tres;Cuatro;Seis;Cinco;D
18;¿Qué problema antropológico surgió primero según el documento hasta el siglo XIX?;El de la coexistencia;El de la ubicación;El de la existencia;El de la esencia;D
19;¿Qué es la esencia según el sentido lógico?;Una realidad profunda;Aquello a lo que se llega mediante la definición;El estar de las cosas;La existencia concreta;B
20;¿Qué filósofo idealista afirmaba que la esencia es obra del sujeto?;Aristóteles;I. Kant;Platón;C. Marx;C
21;¿Qué significa existencia según el documento?;La idea de las cosas;Las notas propias del ser;El estar de las cosas fuera en el tiempo y espacio;La esencia profunda;C
22;¿Quiénes son filósofos existencialistas mencionados en el documento?;Platón y Aristóteles;Descartes y Spinoza;Kierkegaard y Heidegger;Hegel y Marx;C
23;¿Qué problema antropológico es una condición y requisito de la existencia en el plano humano?;La esencia;La ubicación;La existencia;La coexistencia;D
24;¿Qué expresa la coexistencia según el documento?;El conocimiento abstracto;El lenguaje la ciencia el arte el derecho y la moral;La esencia divina;La evolución biológica;B
25;¿A qué se refiere la ubicación como problema antropológico?;A la adaptación pasiva del hombre;A la localización general del hombre dentro del proceso histórico-social;Al origen biológico del hombre;A la esencia espiritual del hombre;B
26;¿Qué obra escribió San Agustín de Hipona relacionada con la ciudad?;Confesiones;Contra Académicos;Diálogos filosóficos;Ciudad de Dios;D
27;¿En qué años vivió San Agustín de Hipona?;313-385 d.J.C.;354-430 d.J.C.;400-476 d.J.C.;325-395 d.J.C.;B
28;¿Qué tipo de interpretación del hombre realizó San Agustín?;Materialista;Existencialista;Teológica;Sociológica;C
29;Según San Agustín ¿de dónde sale el mundo creado?;De la evolución natural;De la materia eterna;De las manos de Dios;De la razón humana;C
30;¿Qué contrapone San Agustín en su antropología?;Razón y fe;Materia y forma;Ciencia y religión;Ciudad terrenal y ciudad celestial;D
31;¿Qué es necesario hacer según San Agustín para alcanzar la ciudad de Dios?;Estudiar filosofía;Acumular riquezas;Hacer obras buenas y arrepentirse;Desarrollar la razón;C
32;¿En qué años vivió Jorge Guillermo Federico Hegel?;1724-1804;1770-1831;1818-1883;1788-1860;B
33;¿Qué obra escribió Hegel sobre el espíritu?;Crítica de la razón pura;Fenomenología del Espíritu;Ser y Tiempo;El Capital;B
34;¿Cuál es el punto de partida del pensamiento hegeliano?;La materia;La Idea Absoluta;La existencia;El proletariado;B
35;¿Qué proceso utiliza Hegel como método del idealismo absoluto?;La inducción;La deducción;La intuición;La dialéctica;D
36;¿Cuáles son los tres procesos de la dialéctica hegeliana?;Premisa mayor premisa menor y conclusión;Concepto juicio y razonamiento;Tesis antítesis y síntesis;Ser esencia y concepto;C
37;¿Qué es el hombre para Hegel según el documento?;Un ser independiente de la idea;El medio o instrumento para realizar la idea;Un ser puramente material;Un ser sin consciencia;B
38;¿Cómo es la concepción antropológica de Hegel según el documento?;Materialista y progresista;Existencialista y libre;Determinista y panteísta;Empirista y racionalista;C
39;¿En qué años vivió Carlos Enrique Marx?;1770-1831;1813-1855;1844-1900;1818-1883;D
40;¿Qué obra escribió Marx sobre el capital?;La riqueza de las naciones;El Capital;Tratado de economía política;Principios de economía;B
41;Según Marx ¿qué determina la existencia concreta del hombre?;El espíritu absoluto;La voluntad divina;Las cosas los demás hombres y lo social;La razón pura;C
42;¿Qué término usa Marx para la explotación del hombre por el hombre?;Trabajo asalariado;Capital variable;Alienación;Plusvalía;D
43;¿Cuántos factores de la historia menciona Marx en su antropología?;Tres;Cinco;Seis;Cuatro;D
44;¿Cuál es el primer factor de la historia según Marx?;La formación de familia;La consciencia social;Satisfacer necesidades ineludibles para vivir;La producción de herramientas;C
45;¿Qué dice Marx que es el motor de la historia?;Los héroes;Los ideólogos;La razón absoluta;Las clases sociales;D
46;¿En qué años vivió Severino Aaby Kierkegaard?;1770-1831;1818-1883;1813-1855;1844-1900;C
47;¿Qué obra escribió Kierkegaard sobre la angustia?;Ser y Tiempo;El concepto de la angustia;La náusea;Temor y temblor;B
48;¿Qué premisa inicia el existencialismo según el documento?;La esencia precede a la existencia;La razón precede a la fe;La materia precede al espíritu;La existencia precede a la esencia;D
49;Según Kierkegaard ¿en qué consiste la existencia humana?;En el conocer;En la razón;En el existir;En la contemplación;C
50;¿Qué encuentra el hombre en las profundidades de su consciencia según Kierkegaard?;Felicidad y plenitud;Razón y lógica;Angustia desesperación y culpa;Conocimiento absoluto;C
51;¿En qué años vivió Federico Guillermo Nietzsche?;1813-1855;1818-1883;1889-1976;1844-1900;D
52;¿Qué obra escribió Nietzsche sobre Zaratustra?;El nacimiento de la tragedia;Así habló Zaratustra;La genealogía de la moral;El crepúsculo de los ídolos;B
53;¿Qué niega Nietzsche sobre el hombre según el documento?;Su existencia;Su racionalidad;Una posible finalidad;Su mortalidad;C
54;"Según Nietzsche en ""Así habló Zaratustra"" ¿qué es el hombre?";Un fin en sí mismo;Un ser completo;Una criatura de Dios;Un puente y un tránsito;D
55;¿Qué debe buscar constantemente el hombre según Nietzsche?;La contemplación;La resignación;La superación;La obediencia;C
56;¿Quién lleva la tarea de definir el sentido de la vida a sus últimas consecuencias según Nietzsche?;El sabio;El santo;El filósofo;El superhombre;D
57;¿Cómo define Nietzsche al hombre en relación con el poder?;Voluntad de saber;Voluntad de poder;Voluntad de verdad;Voluntad de placer;B
58;¿Qué corriente filosófica se asocia con Nietzsche al hacer de la vida el supremo valor?;Racionalismo;Empirismo;Existencialismo;Vitalismo;D
59;¿En qué años vivió Martin Heidegger?;1844-1900;1818-1883;1889-1976;1813-1855;C
60;¿Qué obra principal escribió Heidegger?;Fenomenología del Espíritu;Crítica de la razón pura;El Capital;Ser y Tiempo;D
61;Según Heidegger ¿qué es la existencia en su forma inmediata?;Un estar en la razón;Un estar en Dios;Un estar en el mundo;Un estar en la materia;C
62;¿Qué es la existencia para Heidegger según el documento?;Contemplación;Razón;Felicidad;Preocupación;D
63;¿Cómo describe Heidegger al hombre en relación con la muerte?;Un ser para la vida;Un ser para la razón;Un ser para la eternidad;Un ser para la muerte;D
64;¿En qué años vivió Max Scheler?;1818-1883;1889-1976;1844-1900;1874-1928;D
65;¿Cuántos grados de desarrollo psicofísico propone Scheler?;Tres;Cuatro;Seis;Cinco;D
66;¿A qué corresponde el impulso afectivo según Scheler?;A los animales superiores;Al hombre;A los animales inferiores;A las plantas;D
67;¿A qué corresponde el instinto según Scheler?;A las plantas;Al hombre;Al animal;A los minerales;C
68;¿Qué grado de desarrollo corresponde a la conducta habitual según Scheler?;Instinto;Impulso afectivo;Inteligencia práctica;Memoria asociativa;D
69;¿A qué seres corresponde la inteligencia práctica según Scheler?;Plantas;Hombre únicamente;Todos los animales;Animales superiores;D
70;¿Qué corresponde exclusivamente al hombre según Scheler?;Instinto;Memoria asociativa;Impulso afectivo;Espíritu;D
71;¿Qué principio define al hombre según Scheler?;La razón universal;La materia organizada;La evolución biológica;Un principio que se opone a toda vida;D
72;¿Qué afirman los evolucionistas desde Darwin según el documento?;Hay diferencia esencial entre animal y hombre;El hombre no evolucionó;El hombre es creación divina;No hay diferencia esencial entre animal y hombre;D
73;¿Qué es el estructuralismo según el documento?;Una doctrina filosófica;Un sistema político;Una teoría económica;Un método de investigación;D
74;¿Qué busca explorar el estructuralismo según el documento?;Las esencias absolutas;Los individuos aislados;Las sustancias materiales;Las interrelaciones que producen significado;D
75;¿Quién fue uno de los primeros y más prominentes representantes del estructuralismo?;M. Foucault;F. de Saussure;J. Lacan;Cl. Lévi-Strauss;D
76;¿Qué fenómenos culturales analizó Claude Lévi-Strauss?;La economía política;La lógica formal;Las matemáticas;La mitología y sistemas de parentesco;D
77;¿Dónde encuentra principalmente su difusión el estructuralismo?;Alemania;Inglaterra;Estados Unidos;Francia;D
78;¿En qué área se desarrolló inicialmente el estructuralismo según el documento?;Antropología;Sociología;Filosofía;Lingüística;D
79;¿Quién realizó valiosos aportes al estructuralismo lingüístico?;Cl. Lévi-Strauss;J. Lacan;M. Foucault;Ferdinand de Saussure;D
80;¿Qué afirma el primer principio de la lingüística estructural contra el positivismo?;Lo individual es la única realidad;La sustancia es lo importante;El conocimiento es imposible;Se llega a lo individual a través del todo;D
81;¿Qué dice el tercer principio de la lingüística estructural sobre el lenguaje?;Es un reflejo de la realidad;Es creación divina;Es producto de la razón;Es un sistema de diferencias;D
82;¿Qué necesita constituirse la antropología según Lévi-Strauss?;Ciencia natural;Ciencia exacta;Ciencia histórica;Ciencia semiológica;D
83;¿Quiénes encontraron precedentes del estructuralismo según Lévi-Strauss?;Platón y Aristóteles;Descartes y Spinoza;Kant y Hegel;Marx y Freud;D
84;¿Qué había descubierto Freud que se impone al hombre según el estructuralismo?;La razón pura;La voluntad divina;La materia;El inconsciente;D
85;¿Qué había descubierto Marx que se impone al hombre según el estructuralismo?;El espíritu absoluto;La idea pura;La consciencia;Las relaciones económicas;D
86;¿Quién sostiene que Freud había desarrollado el psicoanálisis estructural?;L. Althusser;Cl. Lévi-Strauss;M. Foucault;J. Lacan;D
87;Según Lévi-Strauss ¿cuál es el fin último de las ciencias humanas?;Perfeccionar al hombre;Conocer la esencia humana;Construir al hombre;Disolverlo;D
88;¿En qué escuela se enraizó la antropología latinoamericana?;Estructuralista francesa;Funcionalista británica;Evolucionista alemana;Culturalista estadounidense de Boas;D
89;¿Quién fundó la tradición antropológica mexicana?;Bronislaw Malinowski;Franz Boas;Claude Lévi-Strauss;Manuel Gamio;D
90;¿En qué décadas recibió la antropología latinoamericana fuerte influencia del marxismo?;1920 y 1940;1980 y 2000;1940 y 1960;1960 y 1980;D
91;¿Qué cuestiones puso en énfasis la teoría marxista en la antropología latinoamericana?;La esencia espiritual del hombre;Las ideas filosóficas;La lógica formal;El subdesarrollo y la cuestión indígena;D
92;¿Hacia dónde se volvió la mirada antropológica siguiendo el fenómeno de urbanización?;Al campo exclusivamente;A Europa;A las montañas;A la ciudad;D
93;¿Cuál es el centro de interés de la antropología actual según el documento?;El evolucionismo;El funcionalismo;El estructuralismo;El multiculturalismo;D
94;¿Quién popularizó el término antropoceno?;Claude Lévi-Strauss;Charles Darwin;Franz Boas;Paul Crutzen;D
95;¿En qué año popularizó Paul Crutzen el término antropoceno?;1995;2010;1990;2000;D
96;¿Qué caracteriza a la época del antropoceno?;La evolución biológica;El desarrollo del lenguaje;La aparición del hombre;El impacto del hombre sobre la Tierra;D
97;¿Qué premio recibió Paul Crutzen en 1995?;Premio Nobel de Literatura;Premio Nobel de la Paz;Premio Nobel de Física;Premio Nobel de Química;D
98;¿Qué es un requisito necesario para ser persona según el problema de la ubicación?;La contemplación filosófica;La fe religiosa;La razón pura;Un proceso de adaptación cultural;D
99;Según el documento ¿qué constituyen juntas la esencia y la existencia?;La nada;La materia;El espíritu;El ser;D
100;¿Qué obra escribió Kierkegaard sobre estética y ética?;Ser y Tiempo;Temor y temblor;El concepto de la angustia;Estética y ética;D
1;¿Qué distinguían los griegos como conjunto de opiniones a propósito de las cosas?;Episteme;Techné;Sofía;Doxa;D
2;¿Qué es la episteme según los griegos?;Opinión común;Conocimiento riguroso e independiente;Sabiduría práctica;Arte técnico;B
3;¿Qué estudia la epistemología?;Las estructuras del pensamiento;Los valores morales;El ser en cuanto ser;Los fundamentos y métodos del conocimiento científico;D
4;¿En qué siglos conoció la epistemología un extraordinario desarrollo?;XVII y XVIII;XVI y XVII;XIX y XX;XX y XXI;C
5;¿Qué filósofo renacentista está convencido de que el sujeto pensante tiene ideas claras y distintas?;Francis Bacon;Immanuel Kant;David Hume;René Descartes;D
6;¿Quién despertó a Kant de su sueño dogmático?;René Descartes;Francis Bacon;Augusto Comte;David Hume;D
7;¿Qué conceptos a priori menciona el documento que están presentes en el hombre según Kant?;Sustancia materia y forma;Espacio tiempo y causalidad;Ser esencia y existencia;Sujeto predicado y cópula;B
8;¿Quién bautizó con el nombre de positivismo a su síntesis filosófica?;David Hume;Immanuel Kant;René Descartes;Augusto Comte;D
9;¿Cuántos maestros de la sospecha menciona el documento?;Tres;Cinco;Seis;Cuatro;D
10;¿En qué año nació Luis Feuerbach según el documento?;1818;1809;1844;1804;D
11;¿En qué año nació Carlos Darwin según el documento?;1804;1809;1818;1844;B
12;¿En qué año nació Carlos Marx según el documento?;1809;1844;1856;1818;D
13;¿En qué año nació Federico Nietzsche según el documento?;1818;1856;1804;1844;D
14;¿En qué año nació Sigmund Freud según el documento?;1844;1804;1809;1856;D
15;¿Qué afirma Luis Feuerbach sobre la religión?;Es una psicosis colectiva;Es una proyección humana frente a la soledad;Es una droga;Es una ilusión necesaria;B
16;¿Qué considera Carlos Marx a la religión?;Una psicosis colectiva;Una proyección humana;Una ilusión necesaria;Una droga;D
