id;question;option_a;option_b;option_c;option_d;answer_letter
52;La ecuación cuyas raíces son 2 - 3i y 2 + 3i es;x² - 4x + 13 = 0;x² + 4x + 13 = 0;x² - 4x - 13 = 0;x² + 4x - 13 = 0;A
53;En x² + 12x = -1, completando cuadrados se suma;36;6;12;144;A
54;Al resolver 10⁽¹/x⁾ - 33·5⁽¹/x⁾ + 32 = 0, la sustitución adecuada es;z = 5⁽¹/x⁾;z = x;z = 10x;z = 1/x;A
55;Si dos números suman -15 y su producto es 56, los números son;-8 y -7;-7 y -8;8 y 7;-15 y 56;A
56;Para que 2x² - (m + 3)x + m = 0 tenga producto de raíces igual a 12, m =;m = 24;m = 12;m = 6;m = -12;A
57;¿Qué es una sucesión?;Una colección de números dispuestos uno a continuación de otro;Una serie de operaciones matemáticas;Un conjunto de funciones;Una ecuación de segundo grado;A
58;¿Qué es el término general de una sucesión?;Una fórmula que permite conocer el valor de un término según su posición;El último término de la sucesión;La suma de todos los términos;La diferencia entre términos consecutivos;A
59;En una progresión aritmética, ¿qué es la razón o diferencia r?;El número fijo que se suma al término anterior;El número que se multiplica;El primer término;La suma de todos los términos;A
60;¿Cuál es la fórmula del término general de una progresión aritmética?;aₙ = a₁ + (n - 1) × r;aₙ = a₁ × rⁿ⁻¹;aₙ = a₁ - (n - 1) × r;aₙ = a₁ + n × r;A
61;¿Cuál es la fórmula de la suma de n términos en una P.A.?;Sₙ = n(a₁ + aₙ)/2;Sₙ = n × a₁;Sₙ = (a₁ - aₙ)/2;Sₙ = n(a₁ - aₙ);A
62;En la progresión aritmética 8, 3, -2, -7, -12, ¿cuál es la razón?;r = -5;r = 5;r = -3;r = 3;A
63;Para la P.A. 1, 3, 5, 7, 9, el término general es;aₙ = 2n - 1;aₙ = 2n + 1;aₙ = n + 1;aₙ = 3n - 1;A
64;Si en una P.A. el primer término es 5 y la razón es 3, ¿cuál es el vigésimo término?;62;67;57;52;A
65;¿Cuántos términos tiene la P.A.: 18, 24, 30, 36, ..., 282?;45;25;19;20;C
66;En una progresión geométrica, ¿qué es la razón r?;El número fijo por el que se multiplica cada término;El número que se suma;La diferencia entre términos;El cociente de términos no consecutivos;A
67;¿Cuál es la fórmula del término general de una progresión geométrica?;aₙ = a₁ × rⁿ⁻¹;aₙ = a₁ + (n - 1) × r;aₙ = a₁ × rⁿ;aₙ = a₁ ÷ rⁿ⁻¹;A
68;Para verificar si una sucesión es P.G., ¿qué debe cumplirse?;El cociente entre cada término y el anterior debe ser constante;La suma debe ser constante;La diferencia debe ser constante;El producto debe ser constante;A
69;En la P.G. 3, 6, 12, 24, 48, ¿cuál es la razón?;r = 2;r = 3;r = 4;r = 6;A
70;¿Cuál es la fórmula de la suma de n términos en una P.G. cuando r ≠ 1?;Sₙ = a₁(rⁿ - 1)/(r - 1);Sₙ = a₁(1 - rⁿ)/(1 + r);Sₙ = a₁ × rⁿ;Sₙ = n(a₁ + aₙ)/2;A
71;El décimo término de la P.G.: 4, 8, 16, ... es;2048;1024;4096;512;A
72;Para interpolar medios aritméticos entre a y b, la razón se calcula como;r = (b - a)/(n + 1);r = (b + a)/n;r = (b - a)/n;r = b/a;A
73;En una P.A. donde a₁ = 23 y r = -6, ¿en qué posición está el elemento -13?;Posición 7;Posición 6;Posición 8;Posición 4;A
74;Si tres números están en P.A. y su suma es 24, ¿cuál es el término central?;8;6;12;4;A
75;El milésimo impar positivo es;1999;2001;999;1001;A
76;En una P.A. de primer término 2 y razón 3, el término trigésimo primero es;92;98;63;65;A
77;Una P.A. de 9 términos tiene razón 2 y la suma de sus términos es 0. El sexto término es;2;0;6;7;A
78;El término 19 de la P.A.: 3, 9, 15, ... es;111;91;103;100;A
79;¿Cuántos términos tiene la P.A.: 100, 98, 96, ..., 22?;40;38;22;11;A
80;La suma de los primeros 40 números enteros positivos es;820;800;780;580;A
81;Para que (3a, 6a+3, 15a+21) sea P.A., el valor de a es;-2,5;-3,5;5-feb;7-feb;A
82;Si en una P.A. a₅ = 30 y a₁₀ = 50, entonces a₅₀ es;210;200;250;300;A
83;El término general de la P.A.: 4, 7, 10, 13, ... es;aₙ = 4 + (n - 1) × 3;aₙ = 3n + 4;aₙ = 4n + 2;aₙ = 3(n - 1) × 4;A
84;El término 15° de la P.A.: 4, 2, 0, ... es;a₁₅ = -24;a₁₅ = -22;a₁₅ = 24;a₁₅ = 22;A
85;La suma de los 100 primeros términos de la P.A.: 4, 2, 0, ... es;S = -9700;S = -9500;S = -9400;S = 9500;A
86;La suma de los 28 términos de la P.A.: 36, 40, 44, ... es;2520;7080;2600;3200;D
87;La P.A.: 40, 44, 48, 52, ... tiene como trigésimo término;156;200;130;207;A
88;La suma de los 57 términos de una P.A. es 228. El término central es;4;7;10;12;A
89;Hallar la razón de una P.A. si a₁ = 14 y a₁₁ = 94;8;4;6;3;A
90;El primer término de una P.A. si a₁₀ = 57 y r = 5 es;12;8;7;11;A
91;Interpolar 3 medios aritméticos entre 13 y 21. El término central es;17;12;14;15;A
92;El término 12° de la P.A.: 5, 10, 15, ... es;60;50;70;65;A
93;¿Cuántos términos tiene la progresión: 9, 12, ..., 150?;48;68;40;58;A
94;En una P.A. si a₆ = 28 y r = 5, entonces a₁ es;3;1;5;8;A
95;Los primeros tres términos de una P.A. son 4, 7, 10. El decimoquinto es;46;49;42;15;A
96;Si en una P.A. a₃ = -7 y r = 5, entonces a₁₀ es;28;20;25;17;A
97;En la P.G.: 1, 2, 4, 8, ... la razón es;2;4;1-feb;8;A
98;El término general de la P.G.: 2, 6, 18, ... es;aₙ = 2 × 3ⁿ⁻¹;aₙ = 6 × 3ⁿ⁻¹;aₙ = 3 × 2ⁿ⁻¹;aₙ = 3ⁿ × 2;A
99;El término 7° de la P.G.: 1, 3, 9, 27, ... es;729;30;38;39;A
100;En la P.G.: 32, -16, 8, -4, ... la razón es;-0,5;2;1-feb;-2;A
101;La suma de los 8 primeros términos de una P.G. con r = 2 y a₁ = 1 es;255;200;254;129;A
102;La suma de los 10 primeros términos de la P.A.: 4, 7, 10, 13, ... es;175;546;182;98;A
103;La suma de los 30 primeros términos de la P.G.: -4, -4, -4, ... es;-120;-40;80;-80;A
104;Si el tercer término de una P.G. es 10 y el sexto es 80, la razón es;2;-1;3;1;A
105;Si x, x+9, x+45 están en P.G., el valor de x es;3;9;7;4;A
106;En la P.G.: 8, -6, x, el valor de x es;9-feb;5-feb;7-feb;6;A
107;En una P.G. si a₁ + a₂ + a₃ + a₄ + a₅ + a₆ = 7 y a₁ × a₆ = 56, entonces a₁ + a₄ es;9;8;63;49;D
108;En la sucesión 2, 6, 18, x, ... el término x es;54;48;12;32;A
109;Si aₙ = (4 - 3n)/n, entonces a₃ es;-1,666666667;9n+4;9n+12;3n+12;A
110;La progresión 2, 4, 6, 8, ... es;Una P.A. de diferencia 2;Una P.A. de diferencia -2;Una P.G. de razón 2;Una P.G. de razón -2;A
111;Para interpolar 4 medios geométricos entre 128 y 4, la razón es;1-feb;2;-0,5;4;A
112;El producto de los primeros n términos de una P.G. es;Pₙ = ±√(a₁ × aₙ)ⁿ;Pₙ = a₁ × aₙ;Pₙ = (a₁ + aₙ)ⁿ;Pₙ = n(a₁ × aₙ);A
113;En una P.G. con a₁ = 3 y a₅ = 1875, si r = 5, la suma de 5 términos es;1563;3126;2343;1875;A
114;La suma de términos de la P.G.: 5, 50, ..., 500000 es;555555;555550;666666;505000;A
115;Para que la suma de 20 términos de la P.A.: -11, -4, 3, 10, ... sea 570, cuántos términos hay;15;76;20;30;A
116;El término sexagésimo de la sucesión: 1/2, 2/3, 3/4, 4/5, ... es;60/61;61/62;59/60;60/59;A
117;La suma de términos entre a₂₄ y a₃₆ en la P.A.: 8, 3, -2, -7, -12, ... con 13 términos es;1781;-1781;1800;-1800;A
118;Si en una P.G. a₁ = 2(r) y la suma de los dos primeros es 24, entonces r es;2;4;3;5;A
119;Interpolar 3 medios geométricos entre 3 y 48 con r = 2 da la progresión;3, 6, 12, 24, 48;3, 9, 27, 81, 48;3, 12, 24, 36, 48;3, 8, 16, 32, 48;A
120;La suma de los primeros 15 términos de la P.G.: 3/2, 9/2, 27/2, ... es;(3/2)(3¹⁵ - 1)/2;(3/2)(3¹⁵ + 1)/2;3¹⁵/2;(3¹⁶ - 1)/4;A
121;En una P.A. el término aₙ se define como;a₁ más (n-1) veces la razón;a₁ más n veces la razón;a₁ menos (n-1) veces la razón;n veces a₁;A
122;Para sumar términos consecutivos en P.A. se usa la fórmula;Sₙ = n(a₁ + aₙ)/2;Sₙ = (a₁ + aₙ)/n;Sₙ = n(a₁ - aₙ)/2;Sₙ = (a₁ × aₙ)/2;A
123;Los medios aritméticos entre dos términos a y b son;Los términos entre los extremos en una P.A.;Los términos entre los extremos en una P.G.;La suma de a y b;El producto de a y b;A
124;Los medios geométricos entre dos términos a y b son;Los términos entre los extremos en una P.G.;Los términos entre los extremos en una P.A.;La raíz de a y b;El cociente de a y b;A
125;¿Cuál es el resultado de log₇ 7?;0;1;7;-1;B
126;¿Cuál es el valor de log₈ 1?;1;8;-1;0;D
127;Si log₂ 128 = x, ¿cuál es el valor de x?;6;8;7;5;C
128;¿Cuál es el resultado de log₃ 81?;3;4;5;2;B
129;Si log₂₄₃ x = 5, ¿cuál es el valor de x?;3;9;27;243;A
130;En la ecuación log₂(x-4) = 5, ¿cuál es el valor de x?;32;36;28;40;B
131;¿Cuál es el valor de x en log₂(log₅ a) = 0?;2;0;5;7;C
132;Si 9ᵘ = 81, ¿cuál es el valor de u?;1-feb;4;2;3;C
133;¿Cuál es el resultado de log(x × y) según las propiedades logarítmicas?;log x - log y;log x + log y;log x × log y;log x ÷ log y;B
134;¿Cuál es el resultado de log(x/y) según las propiedades?;log x + log y;log x × log y;log x - log y;log x ÷ log y;C
135;Si log x^n según las propiedades, ¿cuál es el resultado?;n + log x;n - log x;n × log x;n ÷ log x;C
136;En la ecuación 2^(2x-1) = 4, ¿cuál es el valor de x?;1;2;3-feb;5-feb;C
137;Si 3^(2x) × 3^(x-1) = 27, ¿cuál es el valor de x?;1;2;3;4;D
138;¿Cuál es el valor de x en log₅(2x-1) = 2?;13;12;11;14;A
139;Si 625 = 5^(2+m), ¿cuál es el valor de m?;0;1;2;-1;C
140;¿Cuál es la expresión equivalente a 3log_a x - 2log_a y?;log_a(x³/y²);log_a(x²/y³);log_a(3x/2y);log_a(x³ × y²);A
141;Si log x + log 5 = log 125, ¿cuál es el valor de x?;5;25;75;3;B
142;¿Cuál es el valor de p en log₄(3p² - 5p - 49) = 0?;-5;10-mar;3√10;4;B
143;En la ecuación 3^x × 4^(x+2) = 48, ¿cuál es el valor de x?;-12;4;2;3;A
144;¿Cómo se escribe 4³ = 81 en notación logarítmica?;log₄ 81 = 3;log₃ 81 = 4;log₈₁ 3 = 4;log₂ 81 = 4;A
145;Si log₃(x-8) = 2, ¿cuál es el valor de x?;11;17;26;46;B
146;¿Cuál es el valor de Antilog₃ 7?;343;2187;2781;2078;B
147;Si 7^(3x-2) = 27, ¿cuál es el valor de x?;1;3;5;7;B
148;¿Cuál es el valor de x en log₉(x+1) = 2?;7;9;80;13;C
149;¿Cuál es el valor aproximado de la base e de los logaritmos naturales?;5,718281;4,718281;3,718281;2,718281;D
150;Si log_a 2700 y log_a x = 2, log_a y = 3, log_a z = 5, ¿cuál es el resultado?;2x + 3y + 2z;2 - 3x + y + 2z;x + y + z;#¿NOMBRE?;A
151;Si log₇ m = 4 y log₇ n = 5, ¿cuál es log₇ 7980?;-m - n - 2;-m + n - 2;m + n + 2;2 - m - n;C
152;Si 2^(x+1) × 2^x × 2^(x-2) = 28, ¿cuál es el valor de x?;1;2;3;4;C
153;¿Cuál es el desarrollo de log_b(u²v/w)?;log_b u + log_b v - log_b w;2log_b u + log_b v - log_b w;2log_b u - log_b v - log_b w;2log_b u + log_b v + log_b w;B
154;Si log 100^a = 2/3, ¿cuál es el valor de a?;1000;100;³√100;10;C
155;En la ecuación log(x) + log(x-3) = log(5), ¿cuál es el valor de x?;-1;1;5;-5;C
156;Si log(2x-6) = log(x), ¿cuál es el valor de x?;3;6;-6;12;B
157;¿Cuál es el resultado de log_b ⁿ√A?;log_b A/n;n × log_b A;log_b A - n;n + log_b A;A
158;Si x² - 6x - 5 = 0 proviene de log₅(2x-5) = log₅(12-5x), ¿cuál es una solución?;√10;-√10;10;-10;A
159;En log₃[log₂(x-3)] = 2, ¿cuál es el valor de x?;8;11;12;13;B
160;Si 5^(m-2) = 625, ¿cuál es el valor de m?;-1;2;1;6;D
161;¿Cuál es el valor de x en 9^n = 81?;2;4;3;2;A
162;Si log₃(3x-6) = 2, ¿cuál es el valor de x?;3;4;5;6;C
163;Si 2log x = 1, ¿cuál es log x?;1;10;46054;√10;C
164;¿Cuál es log_a b × log_b N según cambio de base?;log_a N;log_b a;N;log_N a;A
165;Si log₅ 16^A = log₅ 6^36, ¿cuál es log_A 16?;5;4;3;2;D
166;¿Cuál es E = log₂ 7³ - log₃ 8² + log₁₀ 6⁰?;7;6;5;4;C
167;Si log₇(AB) = 4, ¿cuál es E = log_a b + log_b a?;46089;46086;46121;46091;D
168;¿Cuál es log₃(zx)^(1/4) si log_x 2 = 1/4 y log₇₂₉ z = 3?;5;3;2;1;C
169;¿Cuál es R = log₄[log₂(log₂ 4)]?;3;2;4;5;B
170;¿Cuál es el resultado de log 8 + 2log 5 - log 2?;1;3;2;4;C
171;¿Cuál es el resultado de log₄(256) - log₄(16)?;46054;2;1;4;B
172;Si log(4x-9) = 2, ¿cuál es el valor de x?;4;9;16;109/4;D
173;¿Cuál es log₃(27√3)?;4;8;16;46060;D
174;Si log₃ x = -4, ¿cuál es el valor de x?;29587;-0,012345679;-81;81;A
175;En log(x²-7x-18) = 0, ¿cuál es un valor de x?;9;-2;-9;2;A
176;Si log₂[log₅(log₃ 1)] = x, ¿cuál es x?;0;1;-1;indefinido;D
177;¿Cuál es el valor de 3^(log₃ 2)?;2;3;6;9;A
178;Si log_ab a = 4, ¿cuál es log_b a?;46113;4;16;42370;B
179;En la ecuación exponencial 2^(x-1) = 2², ¿cuál es x?;1;2;3;4;C
180;¿Cuál es log₈ 16 × log₃ 12 × log₅ 8 ÷ (log₉ 16 × log₅ 12)?;3;2;46145;4;B
181;Si log x² - log(x-5) = 1 en base 3, ¿cuál es x?;25;40;-40;-25;B
182;¿Cuál es log₄ 256 + log₃ 729 - log₂ 256?;1;4;2;8;B
183;¿Cuál es F = log₈ 16/log₂₇ 4 + log₉ 125/log₃ 5?;8;125;64;89;A
184;"¿Cuál es la expresión matemática para ""El logaritmo de 15 en base 5""?";log₅(15);log₁₅(5);log(15/5);log₃(5);A
185;Si log₂ 4 = x, ¿cuál es el valor de x?;1;2;3;4;B
186;En log₃ 243 = x, ¿cuál es el valor de x?;3;4;5;6;C
187;Si (x-7)(x-17) = 0 proviene de una ecuación logarítmica, ¿cuál es la solución válida?;7;17;-7;-17;B
188;¿Cuál es el resultado de log₆ 1?;6;1;-1;0;D
189;Si 3^(3x-1) = 8, ¿cuál es el valor aproximado de x?;1;46089;3;46082;A
190;En log₃[log₂ 3] × log₂[log₃ 1], ¿cuál es el resultado?;0;1;-1;indefinido;A
191;¿Cuál propiedad NO es correcta?;log(A×B) = log A × log B;log(A/B) = log A - log B;log A^n = n × log A;log_b b = 1;A
192;Si 2^x = 4 y x = log₂ 4, ¿cuál es x?;1;2;3;4;B
193;En la ecuación log(x-2) + log(x+3) = log(5), resolviendo se obtiene aproximadamente x igual a:;1;-1;5;-5;C
194;Si log₂ 8 × log₃ 9 = E, ¿cuál es el valor de E?;5;6;7;8;B
195;Si AC + BC = 28m y M es punto medio de AB, ¿cuál es la longitud de MC?;10m;12m;14m;16m;C
196;En una recta con puntos A, B, C, D donde 1/AB + 1/AD = 2/AC, AB = 2 y CD = 3, ¿cuál es BC?;1;2;3;4;A
197;Si AB = x, DE = x, BC = 4x, CD = 2AB y AE = 25, ¿cuál es el valor de x?;4;5;6;7;C
198;En puntos consecutivos A, B, C, D si AC = 14m, BD = 18m y CD = 2AB, ¿cuál es AB?;2m;3m;4m;5m;C
199;Si BC/CD = 2/7, AD = 25 y AB = 5, ¿cuál es AC?;85/9;94/9;100/9;110/9;B
200;¿Cuál es la suma de los ángulos interiores de un triángulo?;90°;120°;180°;360°;C
201;Si un ángulo exterior de un triángulo es β = α + δ, ¿qué teorema se aplica?;Teorema 1;Teorema 2;Teorema 3;Teorema 4;B
202;¿Cuál es la suma de los ángulos exteriores de un triángulo?;180°;270°;360°;540°;C
203;Si DE une puntos medios de dos lados de un triángulo, ¿cuánto mide DE respecto a AB?;AB/4;AB/3;AB/2;2AB;C
204;En un triángulo equilátero, ¿cuánto mide cada ángulo interior?;45°;60°;90°;120°;B
205;Si en un triángulo con ángulos x + 6°, 2x y 3x, ¿cuál es el valor de x?;25°;29°;30°;35°;B
206;Si los ángulos de un triángulo son 47°, 121° y un ángulo C, ¿cuál es el valor de C?;58°;68°;74°;84°;C
207;Si el ángulo exterior A = 5x - 15°, B = 4x - 10° y C = 45°, ¿cuál es x?;15°;20°;25°;30°;B
208;Si el ángulo exterior A = 5x - 15°, B = 4x - 10° y C = 45°, ¿cuál es el ángulo B?;50°;60°;70°;80°;C
209;Si π = 180°, ¿cuál es x en la ecuación x + 3π/4 = π - 12°?;65°;70°;75°;80°;C
210;En un triángulo rectángulo con catetos x y x + 4, e hipotenusa 20, ¿cuál es x?;8;10;12;14;C
211;¿Cuántas diagonales pueden trazarse desde un vértice de un polígono de n lados?;n - 1;n - 2;n - 3;n - 4;C
212;¿Cuál es el número total de diagonales de un polígono de n lados?;n(n-2)/2;n(n-3)/2;(n-2)(n-3)/2;n(n-1)/2;B
213;Si la suma de ángulos interiores es 180°(n-2), ¿cuál es n si la suma es 1620°?;9;10;11;12;C
214;¿Cuál es el nombre del polígono con suma de ángulos interiores de 3960°?;Icoságono;Pentadecágono;Icositetrágono;Octadecágono;C
215;¿Cuál es el ángulo interior de un dodecágono regular?;120°;135°;144°;150°;D
216;Si un polígono tiene 135 diagonales totales, ¿cuántos lados tiene?;15;16;17;18;D
217;¿Cuál es la suma de ángulos exteriores de cualquier polígono convexo?;180°;270°;360°;540°;C
218;Si el ángulo exterior de un polígono regular es 360°/n, ¿cuál es para n = 12?;20°;25°;30°;36°;C
219;Si la suma de ángulos interiores de un pentágono es S, ¿cuál es S?;360°;450°;540°;720°;C
220;Si cuatro ángulos de un pentágono son 125°, 87°, 97° y 123°, ¿cuál es el quinto?;98°;104°;108°;112°;C
221;En un polígono con ángulos interiores sumando 3960°, ¿qué fórmula se usa?;S = 180°n;S = 360°(n-1);S = 180°(n-2);S = 90°(n-2);C
222;¿Cuál es el ángulo central de un polígono regular de n lados?;180°/n;270°/n;360°/n;90°/n;C
223;¿Qué es el radio de una circunferencia?;Segmento que une dos puntos;Recta que toca un punto;Segmento del centro a la circunferencia;Diámetro dividido por tres;C
224;¿Qué es una cuerda en una circunferencia?;Segmento que pasa por el centro;Segmento que une dos puntos sin pasar por centro;Recta tangente;Radio doble;B
225;¿Cuánto mide el diámetro respecto al radio?;r;2r;3r;4r;B
226;Si una tangente es perpendicular al radio en T, ¿qué ángulo forman?;45°;60°;90°;180°;C
227;Si dos cuerdas equidistan del centro, ¿qué relación tienen?;Son paralelas;Son congruentes;Son perpendiculares;No tienen relación;B
228;Si AB² = BD × BC en tangente-secante, ¿qué teorema es?;Teorema 1;Teorema 2;Teorema 4;Teorema 5;C
229;Cuando dos circunferencias se intersecan, ¿qué ángulo forman los radios?;45°;60°;90°;180°;C
230;En un cuadrilátero inscrito, ¿cuánto suman ángulos opuestos?;90°;120°;180°;360°;C
231;En un cuadrilátero inscrito, ¿qué relación tienen ángulos formados por diagonales?;Son complementarios;Son iguales;Son suplementarios;No tienen relación;B
232;En el Teorema de Poncelet, AC + BC =;R + 2r;2R + r;AB + 2r;R - r;B
233;En el Teorema de Pitot, AB + DC =;AC + BD;AD + BC;2(AD + BC);AB - DC;B
234;Si r = 4cm y EO = 9cm en tangente, ¿cuál es la longitud de tangente?;6,08cm;7,06cm;8,06cm;9,06cm;C
235;Si la distancia entre centros de circunferencias secantes es 5u y r₁ = 3u, ¿cuál es r₂?;2u;3u;4u;5u;C
236;Si arco DE = 39° y arco FH = 45°, ¿cuál es x en ángulo por cuerdas?;42°;84°;126°;138°;D
237;En cuadrilátero inscrito con ángulo 113°, ¿cuál es su opuesto?;57°;67°;77°;87°;B
238;En cuadrilátero inscrito con ángulo 68°, ¿cuál es su opuesto?;102°;112°;122°;132°;B
239;Si arco GH = 146° y arco EF = 31° en ángulo exterior, ¿cuál es α?;47,5°;52,5°;57,5°;62,5°;C
240;¿Cuál es el perímetro de un triángulo equilátero de lado a?;2a;3a;4a;5a;B
241;¿Cuál es el área de un triángulo equilátero de lado a?;a²√2/2;a²√3/4;a²√3/2;a²√2/4;B
242;¿Cuál es el área de un rectángulo de lados a y b?;2(a + b);ab;a²b²;2ab;B
243;¿Cuál es el perímetro de un cuadrado de lado a?;2a;3a;4a;a²;C
